Course Substitution from 2016 to 2014,
ITE220,"Web Development II ( Pre: ITE120, ITE221)"
ITE222,Programming II ( Pre: ITE221)
ITE240,Principles of Operating Systems (Pre: ITE 231)
ITE254,Human Computer Interaction (Pre: ITE120)
ITE321,"System Analysis, Design& Implementation(Pre: ITE101)     "
ITE331,Multimedia Technologies (Pre: ITE 220) 
ITE337,Content Management Systems (Pre: ITE120)
ITE340,E-Commerce Systems & Infrastructure (BUS 206)
ITE342,iOS Apps Development (Pre: ITE 222)
ITE343,Android Apps Development (Pre: ITE 222)
ITE420,"Information and System Security (Pre: ITE221, ITE475)"
ITE442,Database Management Systems (Pre: ITE441)
ITE448,Current Topics in Mobile Computing (Pre: ITE 235)  
ITE451,"Cloud Computing (Pre: ITE 442, 475)"
ITE475,Data Communication and Networking 
ITE479,IT Planning and Project Management (Pre: ITE321)
ITE499,Professional Internship
